hand1,hand2,table1,table2,table3,table4,table5,numPlayers,position,playerChips,action,rank
8s,9s,8d,Th,4h,Js,Qc,2,1,2,1,1485182
9c,Ks,8d,Th,4h,Js,Qc,2,2,128,3,1485183
8s,9s,8d,Th,4h,Js,Qc,2,1,2,2,1485182
Qc,9s,8d,Kh,8h,Ks,5c,2,1,3677,1,744533
9d,Qd,8d,Kh,8h,Ks,5c,2,2,55,1,744533
Qh,Kd,7h,Tc,9c,3h,Ts,2,1,598,1,390865
8d,9d,7h,Tc,9c,3h,Ts,2,2,8,1,744035
Kd,Th,Js,9h,8h,Qd,Td,4,2,162,3,1485183
Ts,Kc,Js,9h,8h,Qd,Td,4,4,1,4,1485183
Kd,Th,Js,9h,8h,Qd,Td,4,2,162,2,1485183
Ks,4s,9h,Qc,Ad,Ac,5c,4,1,6433,1,399653
2h,7s,9h,Qc,Ad,Ac,5c,4,2,137,1,399443
5h,8h,9h,Qc,Ad,Ac,5c,4,3,75,1,744663
Kh,Qd,Tc,5s,9d,7s,Kc,5,3,29,1,397261
Ah,Qh,Tc,5s,9d,7s,Kc,5,4,668,1,368700
Ad,Jh,Tc,5s,9d,7s,Kc,5,5,13,1,368531
Ad,2s,8s,Td,8c,Kd,9c,6,2,5712,1,386654
4d,4c,8s,Td,8c,Kd,9c,6,3,120,1,743637
Qd,9h,8s,Td,8c,Kd,9c,6,6,256,1,743858
5h,Qh,Qc,Jc,6c,8s,7d,6,3,5,3,394867
Js,6s,Qc,Jc,6c,8s,7d,6,5,18,2,744169
9s,Qs,4d,Kd,8s,Ad,8d,6,2,264,1,386656
Ts,Tc,4d,Kd,8s,Ad,8d,6,3,89,1,744028
7d,7c,4d,Kd,8s,Ad,8d,6,4,5711,1,2224445
Qd,Qs,3h,Kh,9h,Ah,6c,7,1,15,3,395441
Jc,Th,3h,Kh,9h,Ah,6c,7,7,10,2,2224808
6h,As,7d,5s,4s,Tc,Ah,7,1,3,1,399078
3s,2s,7d,5s,4s,Tc,Ah,7,2,1,1,1485175
4h,4d,7d,5s,4s,Tc,Ah,7,5,2,3,1114381
6h,As,7d,5s,4s,Tc,Ah,7,1,3,2,399078
3s,2s,7d,5s,4s,Tc,Ah,7,2,1,2,1485175
6d,4h,4c,3h,8s,2d,Qc,7,2,36,1,377459
Kc,As,4c,3h,8s,2d,Qc,7,7,73,1,368669
Jh,Kd,Ts,Qh,5c,Js,2d,7,1,8,1,393063
Qd,Th,Ts,Qh,5c,Js,2d,7,4,6,3,744389
9d,8c,Ts,Qh,5c,Js,2d,7,7,5,2,1485182
Jh,Kd,Ts,Qh,5c,Js,2d,7,1,8,2,393063
6s,5s,4h,3s,8d,7d,Jh,7,1,79,3,1485178
4c,4d,4h,3s,8d,7d,Jh,7,7,1,2,1114340
Kh,As,3d,2d,Ah,2c,5d,5,1,2,1,744625
Ts,Tc,3d,2d,Ah,2c,5d,5,2,2,1,743950
4c,Ah,6s,Qh,Qc,2h,4d,3,1,117,3,744314
5s,4h,6s,Qh,Qc,2h,4d,3,2,53,2,744306
9d,5h,Qd,Ah,3c,9h,6c,3,2,151,1,388834
Qc,2c,Qd,Ah,3c,9h,6c,3,3,91,1,395386
4d,Ad,Jd,Th,7d,3c,2s,4,3,48,1,363924
5d,5c,Jd,Th,7d,3c,2s,4,4,21,1,379514
As,8c,Jd,4c,8h,3c,2h,4,1,4,3,386622
5h,Ah,Jd,4c,8h,3c,2h,4,2,17,4,1485175
As,8c,Jd,4c,8h,3c,2h,4,1,4,2,386622
3h,7s,2h,Ks,Kh,6s,Ac,4,1,300,1,397557
Ts,7c,2h,Ks,Kh,6s,Ac,4,2,133,1,397597
4c,Jh,2h,Ks,Kh,6s,Ac,4,4,71,1,397609
9h,Js,Ah,2d,3c,2c,Kc,5,1,106,1,373473
Qd,Jh,Ah,2d,3c,2c,Kc,5,2,884,1,373474
8c,Jd,Ah,2d,3c,2c,Kc,5,3,57,1,373473
Kd,Qh,Ah,2d,3c,2c,Kc,5,5,240,1,744457
9h,Ts,Ks,Qh,8h,Th,Ac,5,2,31,1,391050
Kc,2c,Ks,Qh,8h,Th,Ac,5,4,133,1,397626
4d,7d,9s,Qs,Ac,6d,3c,5,1,1469,1,365954
8h,9c,9s,Qs,Ac,6d,3c,5,2,100,1,388836
9h,Ts,5d,7d,7s,7c,8c,5,1,100,1,1114835
6c,8h,5d,7d,7s,7c,8c,5,2,133,1,2227829
As,Jh,Kc,3d,9d,2s,Qh,6,4,15,1,368713
8s,Ks,Kc,3d,9d,2s,Qh,6,5,17,1,397247
5c,8c,4s,6c,7c,9d,Th,6,1,5,3,1485180
Tc,Td,4s,6c,7c,9d,Th,6,3,2,2,1115327
8s,Ts,4s,6c,7c,9d,Th,6,6,1,2,1485180
9c,Kd,5c,3c,Ad,9d,9s,6,1,3,1,1115229
Qh,9h,5c,3c,Ad,9d,9s,6,6,5,3,1115228
9c,Kd,5c,3c,Ad,9d,9s,6,1,3,4,1115229
Qh,9h,5c,3c,Ad,9d,9s,6,6,5,2,1115228
6s,Js,4c,3h,Jd,6c,Td,6,3,1,3,744167
As,Jh,4c,3h,Jd,6c,Td,6,6,1,2,393202
5s,Jc,2d,Jh,Js,2h,2s,6,2,3,3,2227875
Jd,6d,2d,Jh,Js,2h,2s,6,4,11,4,2227875
5s,Jc,2d,Jh,Js,2h,2s,6,2,3,2,2227875
Ac,Jh,9d,2c,Qc,8s,7s,7,1,5,1,366320
Kd,Js,9d,2c,Qc,8s,7s,7,3,16,1,337759
9c,Kc,9d,2c,Qc,8s,7s,7,6,5,1,388667
Ah,Ad,6s,3s,4c,5h,8d,8,1,2,1,398726
9s,2s,6s,3s,4c,5h,8d,8,8,2,1,1485176
Ad,8h,Tc,Qs,4h,Th,Js,8,2,25,1,391036
6h,6c,Tc,Qs,4h,Th,Js,8,6,48,1,744000
Kh,Ks,4c,3d,6d,Qc,7h,9,3,1,1,397219
4s,3s,4c,3d,6d,Qc,7h,9,9,1,1,742947
Ah,As,Js,2c,9c,7s,8d,11,1,0,1,399275
Ac,Jh,Js,2c,9c,7s,8d,11,6,0,1,393191
Th,6c,Qc,As,9d,Jd,Qs,9,1,50,1,395416
4s,4h,Qc,As,9d,Jd,Qs,9,2,34,1,744314
8s,Ks,Kd,Js,3c,Ad,9c,9,2,9,1,397612
Jh,3d,Kd,Js,3c,Ad,9c,9,9,7,1,744132
7d,7s,5h,3h,8h,6d,Qs,8,3,240,1,384050
Jh,Ad,5h,3h,8h,6d,Qs,8,7,4,1,366305
Ks,As,9h,Js,Tc,Qc,2s,8,7,1,3,1485184
8c,8s,9h,Js,Tc,Qc,2s,8,8,2,2,1485182
Js,5h,Ac,Qh,7s,6h,2h,7,2,94,1,366292
Jd,8s,Ac,Qh,7s,6h,2h,7,3,107,1,366306
Qs,Jh,Ac,Qh,7s,6h,2h,7,4,114,1,395413
Qs,Qd,4h,3c,5c,7h,8c,7,5,2,1,394345
Ad,2d,4h,3c,5c,7h,8c,7,6,2,1,1485175
8s,Kh,2s,3d,Jc,2h,4s,7,2,858,1,373275
Th,Kd,2s,3d,Jc,2h,4s,7,5,94,1,373277
6h,Qs,2s,3d,Jc,2h,4s,7,6,107,1,373104
2c,5c,7h,6d,Js,6h,Ah,6,1,132,1,382231
8c,4h,7h,6d,Js,6h,Ah,6,2,107,1,382232
Ad,9c,7h,6d,Js,6h,Ah,6,4,115,1,744675
Ah,As,Qh,4d,2s,7h,8d,6,1,2,1,399430
Jh,Qs,Qh,4d,2s,7h,8d,6,4,20,3,394867
Ah,As,Qh,4d,2s,7h,8d,6,1,2,2,399430
3c,3h,6h,Jc,4c,7s,Ts,6,1,20,1,375120
Ac,5h,6h,Jc,4c,7s,Ts,6,6,21,1,363926
Qd,Js,3s,Kd,9c,6d,Jc,7,4,19,1,393062
As,8c,3s,Kd,9c,6d,Jc,7,7,20,1,368517
Qd,8c,7c,Qc,8s,Th,6c,7,1,13,1,744362
Qh,Jc,7c,Qc,8s,Th,6c,7,4,13,1,394894
7d,4h,4s,3h,7c,4d,Ad,6,2,20,3,2227789
2s,2h,4s,3h,7c,4d,Ad,6,4,21,2,742936
9d,8d,2d,4s,Qd,5d,Kh,5,1,316,3,2158507
5c,4c,2d,4s,Qd,5d,Kh,5,5,5,2,743130
Qs,Jd,7d,6d,Qc,3h,7h,4,1,6,1,744350
6c,Jc,7d,6d,Qc,3h,7h,4,2,9,1,743493
Qh,Qd,8c,2c,Ts,7s,9h,4,1,190,1,394712
Ah,Tc,8c,2c,Ts,7s,9h,4,3,3,1,390994
Kc,5d,Kh,8c,9d,6d,6s,4,2,17,1,744504
9s,3s,Kh,8c,9d,6d,6s,4,3,15,1,743832
5d,5h,4s,Ts,6c,Td,9h,4,2,93,1,743984
6s,Qs,4s,Ts,6c,Td,9h,4,4,17,1,744000
2h,6d,Th,8c,9c,6c,Ac,3,2,121,1,382220
4s,5s,Th,8c,9c,6c,Ac,3,3,104,1,361573
Ah,Td,9c,Ks,6s,5c,4c,4,3,11,1,368346
7c,7s,9c,Ks,6s,5c,4c,4,4,14,1,384232
Kd,7s,9c,4h,7d,Ad,Td,4,1,15,1,384457
7h,6s,9c,4h,7d,Ad,Td,4,2,839,1,384417
Ks,9d,9c,4h,7d,Ad,Td,4,4,11,1,388851
3d,6h,Jh,8h,2c,2s,5c,4,2,124,1,372896
3h,As,Jh,8h,2c,2s,5c,4,4,137,1,373444
Jh,6s,Jd,8d,As,2h,2d,4,1,6,3,744119
Jc,3c,Jd,8d,As,2h,2d,4,2,8,2,744119
3h,Qd,4h,Jh,4c,Th,5c,4,1,159,1,377502
Qc,9h,4h,Jh,4c,Th,5c,4,2,8674,1,377502
Ac,9c,9h,3h,5h,6c,9d,4,3,0,3,1115222
2h,8h,9h,3h,5h,6c,9d,4,4,0,2,2070094
Ac,9c,9h,3h,5h,6c,9d,4,3,0,5,1115222
Ad,5h,3s,5s,2h,7s,3c,3,1,15,1,743118
Tc,Th,3s,5s,2h,7s,3c,3,2,473,3,743956
Ad,5h,3s,5s,2h,7s,3c,3,1,15,2,743118
Tc,2s,6h,7h,Qh,4s,7s,3,2,49,3,384076
2c,Ac,6h,7h,Qh,4s,7s,3,3,96,2,384440
9c,As,Js,8h,4c,Jc,Ah,3,2,12,3,744738
8s,Ad,Js,8h,4c,Jc,Ah,3,3,410,2,744737
Jc,7c,Js,Tc,As,8h,3d,3,2,36,1,393204
Kc,Jh,Js,Tc,As,8h,3d,3,3,1108,1,393245
Jc,4h,Ac,4d,9s,3c,Ts,3,2,49,1,377840
2h,9h,Ac,4d,9s,3c,Ts,3,3,99,1,388806
8s,Kd,7d,Kc,Th,6h,2h,3,2,15,1,396895
7s,Ad,7d,Kc,Th,6h,2h,3,3,31,1,384457
9h,8s,3d,6h,3c,5c,7s,2,1,123,1,1485179
6s,5s,3d,6h,3c,5c,7s,2,2,3715,1,743306
Ac,8s,7s,4d,2d,Js,As,2,1,22,1,399261
Td,Ah,7s,4d,2d,Js,As,2,2,46,1,399287
Jh,Kd,Qh,Th,Jc,6c,9h,2,1,7,1,1485183
Ac,6h,Qh,Th,Jc,6c,9h,2,2,16,1,382248
6s,6c,6d,9c,2s,Jh,Qs,2,1,2,3,1114694
Kh,Qc,6d,9c,2s,Jh,Qs,2,2,5,2,395246
Ah,Ac,Qd,5d,9c,Jd,9h,2,1,5,3,744715
7d,Kd,Qd,5d,9c,Jd,9h,2,2,3,4,2194195
Ah,Ac,Qd,5d,9c,Jd,9h,2,1,5,2,744715
Ah,6c,2h,Kh,Jc,Qd,3d,2,1,36,1,368710
Ad,Jh,2h,Kh,Jc,Qd,3d,2,2,32,1,393247
2c,3c,Kc,Ah,5h,Td,Jh,2,1,36,1,368527
As,7h,Kc,Ah,5h,Td,Jh,2,2,32,1,399641
Qh,9d,8c,Js,2h,Ad,4d,2,1,99,1,366320
2s,9h,8c,Js,2h,Ad,4d,2,2,88,1,373445
6c,Kd,2c,8h,7c,9d,Kc,2,1,21,3,396726
3c,4c,2c,8h,7c,9d,Kc,2,2,20,4,2181972
6c,Kd,2c,8h,7c,9d,Kc,2,1,21,2,396726
5h,Jh,2d,9h,4c,4d,8h,2,1,215,1,377305
5d,Js,2d,9h,4c,4d,8h,2,2,221,1,377305
6h,9h,Kh,7h,9d,Js,5d,2,1,43,3,388653
4s,9c,Kh,7h,9d,Js,5d,2,2,44,2,388653
Th,4d,Jc,Ah,7h,Qh,Kc,2,1,88,1,1485184
Qd,3s,Jc,Ah,7h,Qh,Kc,2,2,98,1,395443
8d,Kh,2c,Qs,6c,6h,Ac,3,1,208,1,382262
7c,9h,2c,Qs,6c,6h,Ac,3,2,8669,1,382246
Jc,9d,4h,4d,Td,Th,3d,3,2,196,1,743973
7s,Kc,4h,4d,Td,Th,3d,3,3,178,1,743975
Qd,Ac,9c,5c,2d,Ts,7d,3,1,317,1,366150
7c,Kc,9c,5c,2d,Ts,7d,3,3,7,1,384248
3h,Ad,6s,5c,3s,Js,Kd,3,1,35,1,375670
9h,8c,6s,5c,3s,Js,Kd,3,2,1366,1,335209
9c,Ad,5h,7c,9h,8h,Kc,3,1,13,1,388849
Tc,7d,5h,7c,9h,8h,Kc,3,2,13,1,384248
3s,7c,6c,3h,Qh,6s,Tc,3,2,30,1,743285
8h,4h,6c,3h,Qh,6s,Tc,3,3,27,1,381881
Ad,Ac,5c,Td,3h,5h,9d,3,1,89,3,744661
9s,6c,5c,Td,3h,5h,9d,3,2,3709,2,743816
6h,Qh,Ts,2d,6s,Qs,Kd,3,2,31,1,744339
Ac,Kh,Ts,2d,6s,Qs,Kd,3,3,26,1,397626
6c,6s,3h,3c,Kc,5c,5d,3,1,927,1,743312
4s,Js,3h,3c,Kc,5c,5d,3,3,21,1,743117
Qs,Kd,Tc,Jd,2c,7c,Kh,3,1,9,1,397275
Jh,4s,Tc,Jd,2c,7c,Kh,3,2,7,1,393034
5h,2d,Kd,4c,Kc,7d,4h,3,2,65,1,744476
8s,Jh,Kd,4c,Kc,7d,4h,3,3,3052,1,744480
Kh,7s,3c,Qh,Qc,As,2h,3,1,184,1,395439
8s,Js,3c,Qh,Qc,As,2h,3,2,8649,1,395414
Qc,6d,3s,5h,4c,Qs,7d,3,2,2,3,1485177
9s,9d,3s,5h,4c,Qs,7d,3,3,115,2,388430
6c,Qh,9h,4h,2s,7s,As,3,1,224,1,365954
5s,2c,9h,4h,2s,7s,As,3,2,8614,1,373417
Tc,Jh,5d,9d,Ts,8d,Ks,4,1,4,1,390852
Qc,As,5d,9d,Ts,8d,Ks,4,2,4,1,368700
Ts,Js,Qd,Kc,Jh,Ad,4s,5,1,20,1,1485184
Ah,3h,Qd,Kc,Jh,Ad,4s,5,4,19,1,399655
9s,8s,Jc,Jh,2h,2d,6s,7,2,11,1,744114
2s,3d,Jc,Jh,2h,2d,6s,7,7,12,1,2227767
7c,6h,8d,3d,Jh,9c,Qs,9,3,16,1,306649
9h,2c,8d,3d,Jh,9c,Qs,9,8,15,1,388485
7c,Kc,Ad,9s,Ac,6c,Jd,9,3,44,1,399640
Kd,5d,Ad,9s,Ac,6c,Jd,9,4,28,1,399640
Qc,Tc,Ts,Kd,As,7c,Th,10,2,46,1,1115398
Qs,7s,Ts,Kd,As,7c,Th,10,6,75,1,744015
Jd,Qs,As,Kh,8h,Ts,8d,9,8,49,3,1485184
6c,Ad,As,Kh,8h,Ts,8d,9,9,12,2,744703
Qh,2d,6c,Ah,4h,Ad,Ts,8,1,151,1,399455
3d,2h,6c,Ah,4h,Ad,Ts,8,2,6450,1,399063
Qd,3c,6c,Ah,4h,Ad,Ts,8,4,144,1,399455
Qs,Kc,7h,6s,Ks,8c,Qc,5,2,11,3,744581
2s,Ad,7h,6s,Ks,8c,Qc,5,4,8,2,368672
8h,6c,7s,8s,7h,3h,8c,5,1,1,3,2227841
7c,7d,7s,8s,7h,3h,8c,5,3,7,4,2599122
8h,6c,7s,8s,7h,3h,8c,5,1,1,2,2227841
Jd,6h,3c,9h,7c,As,2d,6,1,68,1,363757
3d,Ks,3c,9h,7c,As,2d,6,2,6449,1,375668
5c,Jc,3c,9h,7c,As,2d,6,4,145,1,363756
9s,Td,5c,Jc,8c,Tc,9d,6,1,89,1,744038
5s,2c,5c,Jc,8c,Tc,9d,6,5,26,1,2132143
9d,9c,9s,5h,8h,5s,4c,6,4,0,1,2227852
8s,8d,9s,5h,8h,5s,4c,6,6,18,3,2227839
9d,9c,9s,5h,8h,5s,4c,6,4,0,4,2227852
8s,8d,9s,5h,8h,5s,4c,6,6,18,4,2227839
9d,9c,9s,5h,8h,5s,4c,6,4,0,2,2227852
9d,9c,9s,5h,8h,5s,4c,6,4,0,5,2227852
Qd,Jc,9c,Jd,Th,Ks,Qc,6,3,91,1,1485183
Qh,6h,9c,Jd,Th,Ks,Qc,6,6,99,1,1485183
Ad,Ac,Qh,8c,4c,Ks,6h,7,4,6,1,399652
5c,4s,Qh,8c,4c,Ks,6h,7,5,2,1,377682
Ac,Kd,Qh,3d,2c,4s,6d,7,6,22,1,368643
Kc,Qc,Qh,3d,2c,4s,6d,7,7,9,1,395176
Ac,Js,9c,6c,Qs,Jd,Ts,7,4,10,3,393232
8s,7s,9c,6c,Qs,Jd,Ts,7,5,69,2,1485182
Kc,Qh,6d,2s,Qd,4s,9c,7,1,415,3,395217
9s,7s,6d,2s,Qd,4s,9c,7,7,4,2,388431
8d,2h,8c,2s,Td,5s,6s,7,2,4,3,743608
Ac,Tc,8c,2s,Td,5s,6s,7,3,28,2,390979
8d,Ad,Kh,Jd,Jh,3c,Jc,7,1,810,1,1115567
Qd,7d,Kh,Jd,Jh,3c,Jc,7,2,196,1,1115553
Kd,7d,9d,Jd,Qh,9h,6h,5,1,3,3,388670
Ad,Qs,9d,Jd,Qh,9h,6h,5,2,309,2,744379
6d,4s,7c,Kc,5s,6s,Kd,6,1,6,1,744502
Ac,9c,7c,Kc,5s,6s,Kd,6,6,18,1,397584
8h,4s,8s,5c,6h,3c,6c,6,1,11,1,743655
Ac,8c,8s,5c,6h,3c,6c,6,6,27,3,2213095
8h,4s,8s,5c,6h,3c,6c,6,1,11,2,743655
Td,Ts,6s,9h,7h,Qs,8s,9,6,6,1,1485180
Jh,5h,6s,9h,7h,Qs,8s,9,7,2,3,1485179
Td,Ts,6s,9h,7h,Qs,8s,9,6,6,2,1485180
Th,Qs,Qh,3c,6h,4h,8s,7,1,66,1,394697
Kh,Td,Qh,3c,6h,4h,8s,7,5,38,1,337575
Js,9d,Qh,Kc,3d,Kd,6c,6,1,1100,1,397274
8s,9c,Qh,Kc,3d,Kd,6c,6,2,130,1,397247
Ah,7h,Qh,Kc,3d,Kd,6c,6,5,6353,1,397623
3h,Jd,9h,Jh,7c,8c,4d,6,1,27,1,392332
Js,4h,9h,Jh,7c,8c,4d,6,2,45,1,744140
Jd,Th,As,Ks,Jh,5h,Kd,5,1,26,1,744574
9s,Qh,As,Ks,Jh,5h,Kd,5,4,56,1,397627
Jc,9c,7h,2s,8s,5c,Qs,6,3,2,3,306649
9d,9h,7h,2s,8s,5c,Qs,6,4,247,2,388445
7d,9s,5s,8h,8s,4h,Kc,5,2,158,1,386430
4s,3c,5s,8h,8s,4h,Kc,5,4,62,1,743637
7h,7s,3d,8s,2d,Qc,4h,5,1,310,1,384048
5d,6s,3d,8s,2d,Qc,4h,5,5,2,3,1485176
7h,7s,3d,8s,2d,Qc,4h,5,1,310,2,384048
4d,6h,3d,2h,Ad,5d,3c,5,2,10,1,1485176
2c,4c,3d,2h,Ad,5d,3c,5,3,2,3,1485175
4d,6h,3d,2h,Ad,5d,3c,5,2,10,2,1485176
8d,3d,4h,7s,5s,8s,6c,5,1,72,1,1485178
7c,As,4h,7s,5s,8s,6c,5,5,5,1,1485178
Jd,Td,5d,8s,Kd,Qd,3c,5,1,67,3,2194234
4h,Ks,5d,8s,Kd,Qd,3c,5,4,2,2,397231
3h,Kh,5d,8s,Kd,Qd,3c,5,5,41,2,744468
Ts,Jc,Ks,7s,9s,3s,4s,5,4,8,1,2189462
As,Jh,Ks,7s,9s,3s,4s,5,5,13,3,2224614
Ts,Jc,Ks,7s,9s,3s,4s,5,4,8,2,2189462
6s,7c,5s,7s,6h,Js,4h,5,2,125,1,743492
Tc,9s,5s,7s,6h,Js,4h,5,5,3,1,275877
7h,2c,Ac,Ad,As,Jh,9s,5,2,33,1,1116031
6d,5h,Ac,Ad,As,Jh,9s,5,5,163,1,1116031
9c,6c,Td,Js,7h,2d,6d,5,1,16,1,381713
4h,6h,Td,Js,7h,2d,6d,5,2,359,1,381711
4s,Tc,7h,7s,Td,3h,Qh,6,1,114,1,744013
9c,Jc,7h,7s,Td,3h,Qh,6,5,7,1,384093
8h,Kh,Js,Td,9d,Kc,5c,6,1,273,1,397092
Ts,7s,Js,Td,9d,Kc,5c,6,2,30,1,390852
8c,2s,Js,Td,9d,Kc,5c,6,6,162,1,335393
5d,Ad,8s,4c,7c,8c,Tc,6,4,239,1,386612
9h,Ah,8s,4c,7c,8c,Tc,6,5,402,1,386614
2d,Jd,9d,Qh,8h,Ah,9c,5,4,1,3,388839
3h,9h,9d,Qh,8h,Ah,9c,5,5,26,2,2222429
2d,Jc,Qh,2s,2c,7c,Tc,5,4,9,1,1114018
Ad,Ac,Qh,2s,2c,7c,Tc,5,5,1,1,744624
4h,As,5c,Qh,Qs,5h,Jd,4,3,225,1,744327
Js,6d,5c,Qh,Qs,5h,Jd,4,4,30,3,744397
4h,As,5c,Qh,Qs,5h,Jd,4,3,225,2,744327
Js,As,3h,Qh,9d,7c,4s,4,2,4,1,366319
6d,Kd,3h,Qh,9d,7c,4s,4,3,150,1,337393
Jd,Ts,3h,Qh,9d,7c,4s,4,4,170,1,306831
6d,4d,4s,Jd,5d,8c,6s,4,2,22,1,743297
Ad,Kc,4s,Jd,5d,8c,6s,4,3,3,3,368502
6d,4d,4s,Jd,5d,8c,6s,4,2,22,2,743297
Kd,Ah,Jh,Ts,Jc,Kc,Qc,5,1,27,1,1485184
9d,7s,Jh,Ts,Jc,Kc,Qc,5,5,23,3,1485183
Kd,Ah,Jh,Ts,Jc,Kc,Qc,5,1,27,4,1485184
9d,7s,Jh,Ts,Jc,Kc,Qc,5,5,23,2,1485183
9d,7s,Ah,Js,6s,Qh,8d,5,2,67,1,366320
9c,3c,Ah,Js,6s,Qh,8d,5,3,29,1,366320
8h,7d,Ah,Js,6s,Qh,8d,5,4,440,1,386642
8c,5d,Ah,Js,6s,Qh,8d,5,5,548,1,386642
As,9c,Jc,5c,Tc,8c,6c,5,1,5,3,2132355
5h,Ac,Jc,5c,Tc,8c,6c,5,4,41,4,2220404
As,9c,Jc,5c,Tc,8c,6c,5,1,5,2,2132355
6h,5h,7s,9h,3d,5c,7h,5,1,65,1,743477
9d,Ts,7s,9h,3d,5c,7h,5,5,4,1,743842
8h,5h,7s,5s,8d,Ks,3d,5,4,2,3,743650
9d,6d,7s,5s,8d,Ks,3d,5,5,26,2,1485179
7c,Jh,7h,4h,5h,2s,3c,5,1,5,1,383840
Qh,4s,7h,4h,5h,2s,3c,5,5,12,1,377445
9h,Qc,9s,Jh,9d,2h,7c,5,3,0,3,1115201
8h,Ts,9s,Jh,9d,2h,7c,5,5,21,4,1485181
9h,Qc,9s,Jh,9d,2h,7c,5,3,0,2,1115201
5h,5s,2c,Js,4d,As,7h,5,1,144,1,380034
Qd,Th,2c,Js,4d,As,7h,5,2,185,1,366332
Ac,Td,2c,Js,4d,As,7h,5,4,28,1,399287
Ts,6s,Th,Jc,3c,Tc,Qh,6,5,10,3,1115370
Td,3s,Th,Jc,3c,Tc,Qh,6,6,12,4,2227863
Ts,6s,Th,Jc,3c,Tc,Qh,6,5,10,2,1115370
Jh,7d,Jc,6d,Qs,6c,As,6,2,2,1,744171
Ts,Qc,Jc,6d,Qs,6c,As,6,4,116,1,744340
Ah,9d,Td,Jh,9h,4h,4c,6,1,179,1,743807
3d,8c,Td,Jh,9h,4h,4c,6,2,251,1,377319
Kh,4d,4c,Kd,6h,5d,9c,6,1,59,3,744478
7c,3c,4c,Kd,6h,5d,9c,6,2,17,4,1485177
Kh,4d,4c,Kd,6h,5d,9c,6,1,59,2,744478
Kd,Ks,5h,5c,5d,4s,4d,5,1,0,3,2227808
9s,3s,5h,5c,5d,4s,4d,5,5,15,2,2227799
Kd,Ks,5h,5c,5d,4s,4d,5,1,0,5,2227808
Ac,Kh,Ah,7d,Th,Qh,Ks,5,1,66,1,744767
Jd,Ts,Ah,7d,Th,Qh,Ks,5,5,2,3,1485184
Ac,Kh,Ah,7d,Th,Qh,Ks,5,1,66,2,744767
4s,2s,Td,Js,8s,4h,8c,5,1,41,1,743635
Qs,Ks,Td,Js,8s,4h,8c,5,5,136,1,386473
Ks,Kd,9s,Qs,As,7d,Ah,6,1,23,1,744767
9d,Ac,9s,Qs,As,7d,Ah,6,4,192,1,2227921
Qh,6c,9s,Qs,As,7d,Ah,6,5,151,1,744751
Jc,6c,6h,5h,7c,Kd,9s,7,1,13,1,382064
Kc,5d,6h,5h,7c,Kd,9s,7,3,266,1,744491
9h,Ac,Kc,Qc,Th,7d,7h,7,1,243,1,384459
4c,3c,Kc,Qc,Th,7d,7h,7,2,169,1,384275
8h,6d,3h,7d,Kh,Th,Tc,7,5,20,1,390811
8d,Kc,3h,7d,Kh,Th,Tc,7,7,198,1,744555
Kd,As,Ks,Js,6c,Qh,6s,8,2,23,1,744509
Tc,Td,Ks,Js,6c,Qh,6s,8,4,9,1,744001
9s,Kc,Ks,Js,6c,Qh,6s,8,6,84,1,744507
8d,8h,Ks,Js,6c,Qh,6s,8,7,22,1,743663
8h,Tc,5d,7c,9c,9s,6h,7,1,13,1,1485180
Th,9d,5d,7c,9c,9s,6h,7,6,112,1,1115171
Jc,Ks,Kd,Qd,7d,Kc,Ad,7,1,88,1,1115904
5d,Jd,Kd,Qd,7d,Kc,Ad,7,2,19,1,2225176
7h,7s,Ad,Ah,8s,3d,Tc,7,2,138,1,744687
